game_name,critic_score,user_score,publisher,release_date,num_of_critics,num_of_users,origin,platform,AAA
#IDARB,78.64,,Other Ocean Interactive,2015,29.0,,GameRankings,XONE,0
#IDARB,77.0,71.0,Other Ocean Interactive,2015,31.0,80.0,MetaCritic,X1,0
#KILLALLZOMBIES,63.0,64.0,Beatshapers,2014,6.0,16.0,MetaCritic,PS4,0
'Splosion Man,85.65,,Twisted Pixel Games,2009,48.0,,GameRankings,X360,0
'Splosion Man,84.0,78.0,Twisted Pixel Games,2009,52.0,105.0,MetaCritic,X360,0
.detuned,46.0,37.0,SCEA,2009,9.0,41.0,MetaCritic,PS3,0
.hack//G.U. Last Recode,76.0,81.0,Bandi Namco,2017,21.0,36.0,MetaCritic,PS4,1
.hack//G.U. Last Recode,69.0,65.0,Bandi Namco,2017,7.0,14.0,MetaCritic,PC,1
.hack//G.U. vol. 1//Rebirth,72.81,,Bandi Namco,2006,24.0,,GameRankings,PS2,1
.hack//G.U. vol. 2//Reminisce,65.33,,Bandi Namco,2007,23.0,,GameRankings,PS2,1
.hack//Infection Part 1,76.82,,Bandi Namco,2003,48.0,,GameRankings,PS2,1
.hack//Mutation Part 2,74.34,,Bandi Namco,2003,29.0,,GameRankings,PS2,1
.hack//Outbreak Part 3,68.86,,Bandi Namco,2003,26.0,,GameRankings,PS2,1
.hack//Quarantine Part 4,68.27,,Bandi Namco,2004,21.0,,GameRankings,PS2,1
0 Day Attack on Earth,41.0,45.0,Square Enix,2009,19.0,13.0,MetaCritic,X360,1
0 Day Attack on Earth,43.55,,Square Enix,2009,20.0,,GameRankings,X360,1
007 Legends,47.74,,Activision,2012,38.0,,GameRankings,X360,1
007 Legends,26.0,26.0,Activision,2012,5.0,99.0,MetaCritic,PC,1
007 Legends,45.0,44.0,Activision,2012,49.0,71.0,MetaCritic,X360,1
007 Legends,41.0,41.0,Activision,2012,22.0,47.0,MetaCritic,PS3,1
007: NightFire,81.02,,Electronic Arts,2002,40.0,,GameRankings,XBOX,1
007: NightFire,59.0,60.0,Electronic Arts,2002,14.0,40.0,MetaCritic,PC,1
007: NightFire,80.83,,Electronic Arts,2002,38.0,,GameRankings,PS2,1
007: NightFire,64.5,,Electronic Arts,2002,21.0,,GameRankings,PC,1
007: NightFire,81.94,,Electronic Arts,2002,35.0,,GameRankings,GC,1
007: Quantum of Solace,67.17,,Activision,2008,35.0,,GameRankings,PS3,1
007: Quantum of Solace,65.0,71.0,Activision,2008,69.0,75.0,MetaCritic,X360,1
007: Quantum of Solace,68.73,,Activision,2008,67.0,,GameRankings,X360,1
007: Quantum of Solace,70.0,61.0,Activision,2008,18.0,58.0,MetaCritic,PC,1
007: Quantum of Solace,65.0,67.0,Activision,2008,42.0,52.0,MetaCritic,PS3,1
007: The World is Not Enough,81.03,,Electronic Arts,2000,24.0,,GameRankings,N64,1
007: The World is not Enough,68.25,,Electronic Arts,2000,26.0,,GameRankings,PS,1
007: Tomorrow Never Dies,62.44,,Electronic Arts,1999,28.0,,GameRankings,PS,1
0RBITALIS,73.0,73.0,Mastertronic,2015,9.0,4.0,MetaCritic,PC,0
1-2-Switch,59.0,,Nintendo,2017,28.0,,GameRankings,NS,1
10 Second Ninja,72.0,79.0,Mastertronic,2014,13.0,12.0,MetaCritic,PC,0
10 Second Ninja X,76.0,52.0,Curve Digital,2016,16.0,18.0,MetaCritic,PS4,0
10 Second Ninja X,82.0,45.0,Curve Digital,2016,10.0,8.0,MetaCritic,X1,0
"10,000,000",67.0,73.0,EightyEight Games LTD,2013,5.0,45.0,MetaCritic,PC,0
1001 Spikes,80.0,69.0,Nicalis,2014,4.0,16.0,MetaCritic,PC,0
1001 Spikes,78.0,66.0,Nicalis,2014,8.0,36.0,MetaCritic,PS4,0
100ft Robot Golf,56.0,59.0,No Goblin,2017,18.0,17.0,MetaCritic,PS4,0
101 Ways to Die,60.0,50.0,Vision Games Publishing LTD,2016,6.0,4.0,MetaCritic,PS4,0
1080: Avalanche,75.57,,Nintendo,2003,46.0,,GameRankings,GC,1
1080: TenEighty Snowboarding,89.6,,Nintendo,1998,23.0,,GameRankings,N64,1
12 is Better Than 6,74.0,69.0,Pinkapp Games,2015,5.0,35.0,MetaCritic,PC,0
140,80.0,73.0,Jeppe Carlsen,2013,6.0,63.0,MetaCritic,PC,0
15 Days,63.0,48.0,DTP Entertainment,2015,6.0,11.0,MetaCritic,PC,0
1503 A.D. - The New World,74.0,76.0,Electronic Arts,2003,14.0,21.0,MetaCritic,PC,1
1503 A.D. - The New World,71.59,,Electronic Arts,2003,22.0,,GameRankings,PC,1
1701 A.D.,78.34,,Aspyr,2006,28.0,,GameRankings,PC,0
1701 A.D.,79.0,84.0,Aspyr,2006,30.0,39.0,MetaCritic,PC,0
18 Wheeler: American Pro Trucker,63.58,,Sega,2001,28.0,,GameRankings,DC,0
18 Wheeler: American Pro Trucker,51.04,,Acclaim,2002,26.0,,GameRankings,GC,0
18 Wheeler: American Pro Trucker,55.25,,Acclaim,2001,22.0,,GameRankings,PS2,0
1849,60.0,55.0,SomaSim,2014,6.0,4.0,MetaCritic,PC,0
187 Ride or Die,53.98,,Ubisoft,2005,43.0,,GameRankings,XBOX,1
187 Ride or Die,56.9,,Ubisoft,2005,42.0,,GameRankings,PS2,1
1942: Joint Strike,69.0,58.0,Capcom,2008,20.0,15.0,MetaCritic,PS3,0
1942: Joint Strike,70.92,,Capcom,2008,38.0,,GameRankings,X360,0
1942: Joint Strike,68.0,62.0,Capcom,2008,36.0,22.0,MetaCritic,X360,0
1954: Alcatraz,58.0,63.0,Daedalic Entertainment,2014,24.0,36.0,MetaCritic,PC,0
1979 Revolution: Black Friday,80.0,78.0,iNK Stories,2016,24.0,61.0,MetaCritic,PC,0
1nsane,73.94,,Codemasters,2001,26.0,,GameRankings,PC,0
1nsane,69.0,82.0,Codemasters,2001,14.0,22.0,MetaCritic,PC,0
2002 FIFA World Cup,80.0,80.0,Electronic Arts,2002,9.0,47.0,MetaCritic,PC,1
2002 FIFA World Cup,76.05,,Electronic Arts,2002,34.0,,GameRankings,XBOX,1
2002 FIFA World Cup,76.58,,Electronic Arts,2002,31.0,,GameRankings,PS2,1
2010 FIFA World Cup South Africa,82.82,,Electronic Arts,2010,33.0,,GameRankings,PS3,1
2010 FIFA World Cup South Africa,83.0,82.0,Electronic Arts,2010,61.0,60.0,MetaCritic,X360,1
2010 FIFA World Cup South Africa,82.0,78.0,Electronic Arts,2010,56.0,58.0,MetaCritic,PS3,1
2010 FIFA World Cup South Africa,83.43,,Electronic Arts,2010,37.0,,GameRankings,X360,1
2014 FIFA World Cup Brazil,74.0,44.0,Electronic Arts,2014,29.0,93.0,MetaCritic,X360,1
2014 FIFA World Cup Brazil,74.7,,Electronic Arts,2014,20.0,,GameRankings,PS3,1
2014 FIFA World Cup Brazil,73.0,43.0,Electronic Arts,2014,33.0,89.0,MetaCritic,PS3,1
2064: Read Only Memories,76.0,33.0,MidBoss,2017,14.0,528.0,MetaCritic,PS4,0
24: The Game,63.83,,2K Games,2006,59.0,,GameRankings,PS2,0
25 to Life,39.0,51.0,Eidos Interactive,2006,12.0,46.0,MetaCritic,PC,0
25 to Life,41.67,,Eidos Interactive,2006,23.0,,GameRankings,PS2,0
2Dark,54.0,74.0,Gloomywood,2017,19.0,20.0,MetaCritic,PS4,0
2Dark,65.0,78.0,Gloomywood,2017,9.0,8.0,MetaCritic,X1,0
2Dark,68.0,53.0,Gloomywood,2017,14.0,30.0,MetaCritic,PC,0
3 on 3 NHL Arcade,64.0,72.0,Electronic Arts,2009,21.0,26.0,MetaCritic,X360,1
3 on 3 NHL Arcade,66.0,71.0,Electronic Arts,2009,20.0,23.0,MetaCritic,PS3,1
300: March to Glory,54.96,,Warner Bros,2007,28.0,,GameRankings,PSP,1
3D Dot Game Heroes,77.0,80.0,Atlus,2010,66.0,101.0,MetaCritic,PS3,0
3D Dot Game Heroes,78.44,,From Software,2010,53.0,,GameRankings,PS3,0
3D Ultra MiniGolf Adventures,66.0,61.0,Sierra Online,2007,13.0,17.0,MetaCritic,X360,0
4 Elements HD,65.0,75.0,Boolat Games,2011,6.0,6.0,MetaCritic,PS3,0
4PM,41.0,42.0,4PM GAME,2014,7.0,26.0,MetaCritic,PC,0
4x4 EVO 2,60.61,,Gathering,2001,32.0,,GameRankings,XBOX,0
4x4 EVO 2,69.0,84.0,Gathering,2001,9.0,11.0,MetaCritic,PC,0
4x4 Evolution,75.0,,Gathering,2000,34.0,,GameRankings,PC,0
4x4 Evolution,78.15,,Gathering,2000,20.0,,GameRankings,DC,0
4x4 Evolution,64.8,,Gathering,2001,20.0,,GameRankings,PS2,0
4x4 Evolution,73.0,62.0,Gathering,2000,23.0,16.0,MetaCritic,PC,0
50 Cent: Blood on the Sand,71.03,,THQ,2009,43.0,,GameRankings,X360,0
50 Cent: Blood on the Sand,71.0,64.0,THQ,2009,54.0,66.0,MetaCritic,X360,0
50 Cent: Blood on the Sand,72.0,71.0,THQ,2009,37.0,62.0,MetaCritic,PS3,0
50 Cent: Blood on the Sand,72.37,,THQ,2009,27.0,,GameRankings,PS3,0
50 Cent: Bulletproof G Unit Edition,53.56,,Vivendi Games,2006,31.0,,GameRankings,PSP,0
7 Days to Die,35.0,53.0,Telltale Games,2016,17.0,86.0,MetaCritic,X1,0
7 Days to Die,45.0,58.0,Telltale Games,2016,16.0,176.0,MetaCritic,PS4,0
7 Grand Steps,69.0,71.0,Mousechief,2013,4.0,29.0,MetaCritic,PC,0
7554,41.0,48.0,Emobi Games,2012,7.0,29.0,MetaCritic,PC,0
7th Dragon III Code: VFD,77.6,,Deep Silver,2016,20.0,,GameRankings,3DS,0
8-Bit Armies,69.0,77.0,Petroglyph,2016,9.0,17.0,MetaCritic,PC,0
80 Days (2005),58.0,79.0,Matrix Games,2005,17.0,9.0,MetaCritic,PC,0
80 Days (2015),84.0,69.0,inkle,2015,8.0,23.0,MetaCritic,PC,0
88 Heroes,72.0,58.0,Rising Star Games,2017,8.0,5.0,MetaCritic,PS4,0
8BitBoy,64.0,56.0,AwesomeBlade,2012,4.0,12.0,MetaCritic,PC,0
8DAYS,61.0,68.0,Badland Games,2017,6.0,6.0,MetaCritic,PS4,0
911 Fire Rescue,48.0,70.0,Atari,2001,6.0,5.0,MetaCritic,PC,0
