game,AAA,critics,user,year
#IDARB,0,77.0,71.0,2015
#KILLALLZOMBIES,0,63.0,64.0,2014
'Splosion Man,0,84.0,78.0,2009
.detuned,0,46.0,37.0,2009
.hack//G.U. Last Recode,1,76.0,81.0,2017
.hack//G.U. vol. 1//Rebirth,1,72.81,0.0,2006
.hack//G.U. vol. 2//Reminisce,1,65.33,0.0,2007
.hack//Infection Part 1,1,76.82,0.0,2003
.hack//Mutation Part 2,1,74.34,0.0,2003
.hack//Outbreak Part 3,1,68.86,0.0,2003
.hack//Quarantine Part 4,1,68.27,0.0,2004
0 Day Attack on Earth,1,43.55,45.0,2009
007 Legends,1,45.0,26.0,2012
007: NightFire,1,81.02,60.0,2002
007: Quantum of Solace,1,65.0,71.0,2008
007: The World is Not Enough,1,81.03,0.0,2000
007: The World is not Enough,1,68.25,0.0,2000
007: Tomorrow Never Dies,1,62.44,0.0,1999
0RBITALIS,0,73.0,73.0,2015
1-2-Switch,1,59.0,0.0,2017
10 Second Ninja,0,72.0,79.0,2014
10 Second Ninja X,0,76.0,52.0,2016
"10,000,000",0,67.0,73.0,2013
1001 Spikes,0,78.0,66.0,2014
100ft Robot Golf,0,56.0,59.0,2017
101 Ways to Die,0,60.0,50.0,2016
1080: Avalanche,1,75.57,0.0,2003
1080: TenEighty Snowboarding,1,89.6,0.0,1998
12 is Better Than 6,0,74.0,69.0,2015
140,0,80.0,73.0,2013
15 Days,0,63.0,48.0,2015
1503 A.D. - The New World,1,71.59,76.0,2003
1701 A.D.,0,79.0,84.0,2006
18 Wheeler: American Pro Trucker,0,63.58,0.0,2001
1849,0,60.0,55.0,2014
187 Ride or Die,1,53.98,0.0,2005
1942: Joint Strike,0,70.92,62.0,2008
1954: Alcatraz,0,58.0,63.0,2014
1979 Revolution: Black Friday,0,80.0,78.0,2016
1nsane,0,73.94,82.0,2001
2002 FIFA World Cup,1,76.05,80.0,2002
2010 FIFA World Cup South Africa,1,83.0,82.0,2010
2014 FIFA World Cup Brazil,1,73.0,44.0,2014
2064: Read Only Memories,0,76.0,33.0,2017
24: The Game,0,63.83,0.0,2006
25 to Life,0,41.67,51.0,2006
2Dark,0,54.0,53.0,2017
3 on 3 NHL Arcade,1,64.0,72.0,2009
300: March to Glory,1,54.96,0.0,2007
3D Dot Game Heroes,0,77.0,80.0,2010
3D Ultra MiniGolf Adventures,0,66.0,61.0,2007
4 Elements HD,0,65.0,75.0,2011
4PM,0,41.0,42.0,2014
4x4 EVO 2,0,60.61,84.0,2001
4x4 Evolution,0,75.0,62.0,2000
50 Cent: Blood on the Sand,0,71.0,64.0,2009
50 Cent: Bulletproof G Unit Edition,0,53.56,0.0,2006
7 Days to Die,0,35.0,58.0,2016
7 Grand Steps,0,69.0,71.0,2013
7554,0,41.0,48.0,2012
7th Dragon III Code: VFD,0,77.6,0.0,2016
8-Bit Armies,0,69.0,77.0,2016
80 Days (2005),0,58.0,79.0,2005
80 Days (2015),0,84.0,69.0,2015
88 Heroes,0,72.0,58.0,2017
8BitBoy,0,64.0,56.0,2012
8DAYS,0,61.0,68.0,2017
911 Fire Rescue,0,48.0,70.0,2001
911 Operator,0,68.0,73.0,2017
99 Levels To Hell,0,66.0,71.0,2014
99Vidas,0,61.0,83.0,2016
A Bastard's Tale,0,48.0,60.0,2016
A Bird Story,0,66.0,71.0,2014
A Boy and His Blob,0,81.93,73.0,2016
A City Sleeps,0,61.0,58.0,2014
A Druid's Duel,0,70.0,68.0,2015
A Fistful of Gun,0,60.0,79.0,2015
A Game of Dwarves,0,60.0,66.0,2012
A Game of Thrones: Genesis,0,53.0,41.0,2011
A Golden Wake,0,68.0,60.0,2014
A Hat in Time,0,79.0,84.0,2017
A King's Tale: Final Fantasy XV,1,65.0,65.0,2016
A Kingdom for Keflings,0,78.64,70.0,2008
A New Beginning: Final Cut,0,72.0,68.0,2012
A Normal Lost Phone,0,71.0,77.0,2017
A Pixel Story,0,74.0,58.0,2015
A Quiet Weekend in Capri,0,63.0,75.0,2004
A Story About My Uncle,0,73.0,72.0,2014
A Stroke of Fate: Operation Valkyrie,0,58.0,52.0,2011
A Tale in the Desert,0,79.0,83.0,2003
A Valley Without Wind,0,54.0,68.0,2012
A Valley Without Wind 2,0,68.0,72.0,2013
A Vampyre Story,0,74.96,0.0,2008
A Virus Named TOM,0,65.0,63.0,2012
A Walk in the Dark,0,67.0,57.0,2012
A Way Out,1,80.0,83.0,2018
A World of Keflings,0,78.07,65.0,2010
A-Men,1,67.0,75.0,2013
A.R.E.S. Extinction Agenda,0,68.0,62.0,2010
A.R.E.S. Extinction Agenda EX,0,66.0,72.0,2013
ABZU,0,78.0,77.0,2016
AC/DC Live: Rock Band Track Pack,1,63.0,53.0,2008
ADR1FT,0,64.0,52.0,2016
AER: Memories of Old,0,69.0,66.0,2017
AGEOD's American Civil War: 1861-1865 - The Blue and the Gray,1,63.0,73.0,2007
AI War: Fleet Command,0,80.0,83.0,2009
AMY,0,25.0,39.0,2012
AO Tennis,0,44.0,75.0,2018
APB (All Points Bulletin),1,58.0,57.0,2010
APB: Reloaded,0,56.0,57.0,2011
APOX,0,48.0,42.0,2011
AR-K Episode 3: The Great Escape,0,78.0,82.0,2015
ARK: Survival Evolved,0,70.0,42.0,2017
ARKANOID Live!,0,58.0,36.0,2009
ARMS,1,77.32,0.0,2017
ATV Offroad Fury,0,83.12,0.0,2001
ATV Offroad Fury 2,0,81.02,0.0,2002
ATV Offroad Fury 3,0,76.84,0.0,2004
ATV Offroad Fury 4,0,78.06,0.0,2006
ATV Offroad Fury Pro,0,76.86,0.0,2006
ATV Offroad Fury: Blazin' Trails,0,65.38,0.0,2005
